time,pot_real,pot_pred
2025-07-14 09:00:00,2.2301428571428574,1.1432372845919667
2025-07-14 10:00:00,1.5385714285714285,1.2481694206442862
2025-07-14 11:00:00,1.887857142857143,1.4807021144657384
2025-07-14 13:00:00,1.27,1.5229952584550168
2025-07-14 14:00:00,0.9028571428571429,1.4094136950783216
2025-07-14 15:00:00,0.7337142857142858,1.2882374527203648
2025-07-14 16:00:00,0.7357142857142858,1.2737745658337762
2025-07-14 17:00:00,0.5451428571428572,2.30607932274836
2025-07-14 18:00:00,2.3634285714285714,2.7053272684301546
2025-07-14 19:00:00,3.1888571428571426,3.0274627166396626
2025-07-15 00:00:00,5.4028,3.810204485205813
2025-07-15 01:00:00,5.994,4.138181349989182
2025-07-15 02:00:00,4.223571428571429,2.799982455006834
2025-07-15 03:00:00,5.7152,3.964841922740712
2025-07-15 04:00:00,5.073833333333334,3.421048940003244
2025-07-15 05:00:00,4.229833333333334,3.1086810699154435
2025-07-15 06:00:00,3.5416666666666665,2.9938771858963453
2025-07-15 07:00:00,3.4495714285714287,2.180512451867457
2025-07-15 08:00:00,3.0275714285714286,1.5009614315389652
2025-07-15 09:00:00,2.4858571428571428,1.7091364412803671
2025-07-15 10:00:00,2.214,2.0622988514948775
2025-07-15 11:00:00,3.0105714285714287,2.960888422562905
2025-07-15 12:00:00,2.6877142857142857,2.1931464409673658
2025-07-15 13:00:00,1.7621428571428572,1.6767587010841885
