time,temperature_2m,wind_speed_10m,wind_speed_100m,surface_pressure,wind_speed_90m,pressure_90m
2024-10-27 07:00:00,16.8,4.555555555555555,6.666666666666666,1008.6,6.570067519927463,997.9609996737477
2024-10-27 08:00:00,18.4,5.388888888888888,6.777777777777777,1010.0,6.714225707554617,999.4043912277735
2024-10-27 09:00:00,19.8,4.972222222222221,5.972222222222222,1010.1,5.9264647316615475,999.5537179993738
2024-10-27 10:00:00,21.2,5.194444444444444,5.916666666666667,1009.8,5.883619590150624,999.3067345734015
2024-10-27 11:00:00,22.0,5.833333333333333,6.722222222222221,1008.9,6.6815488972793995,998.4443556037638
2024-10-27 12:00:00,22.4,6.499999999999999,7.638888888888888,1008.1,7.586776191305898,997.666712451032
2024-10-27 13:00:00,22.4,6.833333333333334,8.027777777777777,1007.1,7.973122997385859,996.6770619079798
2024-10-27 14:00:00,22.1,6.916666666666666,8.277777777777779,1006.3,8.215496748959081,995.8748142689509
2024-10-27 15:00:00,21.6,6.833333333333334,8.277777777777779,1005.8,8.211683624745692,995.3624102558196
2024-10-27 16:00:00,20.6,6.75,8.444444444444445,1005.5,8.36691091877219,995.0301874332263
2024-10-27 17:00:00,19.8,6.555555555555555,8.5,1005.8,8.411027101687576,995.2986135667459
2024-10-27 18:00:00,18.4,6.555555555555555,9.166666666666666,1006.2,9.047188774647125,995.6442558944415
2024-10-27 19:00:00,17.6,6.416666666666667,9.361111111111112,1006.7,9.226380722238014,996.1101053089524
2024-10-27 20:00:00,17.6,5.388888888888888,8.36111111111111,1007.4,8.225109680833548,996.8027417187232
2024-10-27 21:00:00,17.5,4.75,7.0,1007.5,6.897045646238481,996.898062613823
2024-10-27 22:00:00,17.3,4.194444444444445,6.861111111111111,1007.7,6.739091136282644,997.0886947892564
2024-10-27 23:00:00,17.0,3.9722222222222223,6.361111111111111,1007.2,6.251801550327276,996.5830518081391
2024-10-28 00:00:00,16.9,3.1666666666666665,5.083333333333333,1006.4,4.995631476425372,995.7878465236607
2024-10-28 01:00:00,16.5,2.7222222222222223,4.388888888888889,1005.9,4.312626404621097,995.278548606068
